time,x,y,velocity_x,velocity_y,acceleration_x,acceleration_y,theta,firing
6.2,6.63878,-4.1282,0.555351,-0.10568,0.364762,0.164161,-2.7187,1
6.3,6.69612,-4.13791,0.591484,-0.0885207,0.361327,0.171589,-2.69824,1
6.4,6.75699,-4.14574,0.625882,-0.0681064,0.343985,0.204143,-2.60599,1
6.5,6.82112,-4.15127,0.656622,-0.0425122,0.307398,0.255942,-2.44728,1
6.6,6.888,-4.15394,0.681081,-0.0108614,0.244587,0.316508,-2.22871,1
6.7,6.95687,-4.15317,0.69621,0.0261669,0.151295,0.370283,-1.95869,1
6.8,7.02664,-4.14856,0.699299,0.0660475,0.0308859,0.398806,-1.64809,1
6.9,7.09606,-4.14002,0.689009,0.104701,-0.102899,0.386538,-1.31062,1
7,7.16382,-4.12791,0.666152,0.137527,-0.228572,0.328261,-0.96255,1
7.1,7.22881,-4.113,0.633632,0.160818,-0.3252,0.232906,-0.621511,1
7.2,7.29026,-4.09631,0.595474,0.172818,-0.381575,0.120002,-0.304699,1
7.3,7.34781,-4.07898,0.555489,0.173896,-0.399855,0.0107797,-0.0269526,1
7.4,7.4014,-4.06199,0.51629,0.165927,-0.391982,-0.079688,0.200562,1
7.5,7.45116,-4.04612,0.479008,0.151435,-0.372822,-0.144926,0.370751,1
7.6,7.49729,-4.0319,0.443532,0.132958,-0.354767,-0.184772,0.48017,1
7.7,7.53992,-4.01961,0.408983,0.112799,-0.345487,-0.20159,0.528196,1
7.8,7.57907,-4.00932,0.374195,0.0930553,-0.34788,-0.197433,0.516203,1
7.9,7.61469,-4.00088,0.338125,0.0757649,-0.3607,-0.172903,0.446996,1
8,7.64661,-3.99394,0.300214,0.0630084,-0.379114,-0.127565,0.324581,1
8.1,7.67465,-3.98795,0.260688,0.0568634,-0.395252,-0.0614506,0.154237,1
8.2,7.69872,-3.98214,0.220754,0.0591519,-0.399345,0.0228857,-0.0572454,1
8.3,7.71889,-3.97564,0.182556,0.0710229,-0.381979,0.11871,-0.301313,1
8.4,7.73546,-3.96746,0.148828,0.0925267,-0.337281,0.215038,-0.567583,1
8.5,7.74901,-3.95671,0.122252,0.122422,-0.265755,0.298955,-0.844122,1
8.6,7.76036,-3.94267,0.104758,0.158394,-0.174947,0.359713,-1.11813,1
8.7,7.77045,-3.92487,0.0970507,0.197644,-0.0770696,0.392505,-1.37691,1
8.8,7.78024,-3.9031,0.0985749,0.237615,0.0152426,0.399709,-1.60891,1
8.9,7.79056,-3.8774,0.107838,0.276528,0.0926263,0.389128,-1.80448,1
9,7.80209,-3.84789,0.122876,0.313593,0.150381,0.370656,-1.95622,1
9.1,7.81532,-3.81477,0.141633,0.348923,0.18757,0.353295,-2.05887,1
